UC,Distance_to_River_km
Shah Jamal,29.87
Salangi Awan,30.79
Sagar Kalan,26.56
Ramke Chatha,8.45
Qila Ram Kou,24.84
Nanuana,46.76
Naharaan Wal,44.25
Kuriala,37.34
Koulo Tarrar,19.22
Kot Said Muh,13.21
Kot Ishaq,6.63
Kassokey,44.01
Kalekey Mand,41.46
Hafizabad -,32.67
Hafizabad -,30.71
Hafizabad -,28.37
Hafizabad -,30.29
Hafizabad -,27.64
Hafizabad -,30.6
Hafizabad -,27.14
Dhirankey La,14.42
Chak Kharal,17.94
Chak Chatha,36.7
Wallah,3.84
Thatta Muham,20.72
Sumandar,6.16
Salara,4.22
Rajoa,15.31
Pir Panja,0.73
Mathruma,7.29
Chak No. 241,28.55
Mangini,15.69
Langar Makhd,5.87
Kot Amir,2.52
Kanven Wala,12.87
Kalri,0.2
Jhabana,6.3
Idiana,5.62
Kerseh Sheik,0.47
Hast Khiwa,3.6
Satellite To,14.97
Mohallah Moz,14.22
Rajewali,11.31
Mohallah Gar,12.83
Rehmanabad,10.16
Mohallah Aal,9.49
Mohallah Dar,10.35
Ahmad Pura,8.16
Chanab Nagar,2.29
Chanab Nagar,3.49
Chak 208,13.71
Chak 203,21.07
Chak 200,19.2
Chak 195,23.69
Chak 190,10.94
Chak 184,15.34
Chak 158,13.37
Chak 153,18.91
Chak 146,19.13
Chak 13,8.84
Chak No. 128,15.66
Chak 125,6.55
Bhawana,14.18
Barana,4.48
Ahmad Abad,6.16
Toba Tek Sin,49.43
Toba Tek Sin,42.15
Toba Tek Sin,38.62
Rajana,64.04
393 Jb,35.18
391 Jb,44.31
388 Jb,35.06
375 Jb,44.61
361 Gb,55.05
350 Gb,60.47
342 Gb,50.47
333 Gb,44.15
330 Gb,40.44
328 Jb,45.99
327 Gb,31.66
323 Jb,52.87
517/gb,57.05
316 Gb,33.9
314 Gb,32.68
301 Gb,38.29
296 Gb,45.37
295 Gb,53.15
284/gb,61.37
284/ Jb,58.0
269 Gb,73.69
262 Gb,67.0
251 Gb,66.79
189 Gb,84.61
184 Gb,74.11
183 Gb,65.09
151 Gb,65.0
Shahpur,47.35
Plot C,31.51
Pir Mahal -,48.31
Pir Mahal -,48.16
P 57/4,72.4
Nawab Bhooti,46.22
Chak No. 711,54.31
Muhammad Sha,77.9
Kot Pajhana,56.93
Kamalia Town,68.71
Jaosa,40.54
Chak No. 674,40.96
Bahroon Kama,61.26
759 Gb,44.79
739 Gb,63.59
718 Gb,51.78
715 Gb,62.75
712 Gb,69.69
694 Gb,39.09
670 Gb,49.6
661 Gb,55.98
Gojra - 6,51.43
Gojra - 5,49.97
Gojra - 4,49.25
Gojra - 3,48.69
Gojra - 2,47.59
Gojra - 1,46.64
93 Jb,54.17
430 Jb,38.54
431 Jb,45.4
423 Jb,45.44
367 Jb,55.36
354 Jb,42.14
349 Jb,47.11
345 Jb,45.95
338 Jb,46.09
334 Jb,44.15
316 Jb,43.31
301 Jb,50.58
281 Jb,49.32
278 Jb,50.07
178 Gb,63.26
161 Gb,55.52
158 Gb,52.89
154 Gb,59.35
Sarai Alamgi,65.87
Sarai Alamgi,66.11
Shadiwal,3.01
Lalian,12.47
Lakhanwal,16.33
Miana Gondal,41.32
Badshah Pur,47.74
Malakwal - 1,48.39
Malakwal - 2,49.58
Chalinwala,48.88
Mong,48.53
Kandiwal,14.53
18-hazari,3.33
547/t.d.a,29.59
565/t.d.a,38.43
632/t.d.a,44.87
75/d.b,51.44
75/d.b,88.89
75/d.b,44.17
Ahmad Muhana,32.16
Ali Wali,25.97
Allahyar Jotta,7.55
Alu Rid,39.89
Alude Wala,13.34
Ashaba,14.56
Ahmed Pur Sial Tc,5.8
Bair Bund,8.27
Bait Mullan Wali,6.61
Bait Qaim Wala,54.28
Bait Qaim Wala,65.18
Bakaeni,30.5
Bandah Ishaq,7.47
Bangla Yasmeen,12.25
Basira,15.61
Basti Kharak,18.73
Baz Wala,12.63
Beelay Wala,23.91
Bet Mir Hazar Khan,32.51
Bhangoo,20.24
Bhangoo,15.22
Bharihoog,30.83
Bheli,113.67
Binda Surbana,7.99
Bodh Rajbana,10.26
Braham Wali,3.33
Budh,29.44
Budh,37.73
Chak Farazi,2.08
Chak No 001/d N B,56.6
Chak No 001/d N B,55.12
Chak No 001/d N B,50.44
Chak No 004/bc,78.32
Chak No 004/b C,74.29
Chak No 012/bc,68.83
Chak No 012/bc,55.38
"Chak No 012/bc
",57.06
Chak No 017 Ghugh,27.07
Chak No 017/d N B,73.71
Chak No 017/d N B,71.48
Chak No 017/d N B,51.95
Chak No 017/d N B,57.12
Chak No 022/d N B,45.47
Chak No 024/bc,69.33
Chak No 024/bc,68.82
Chak No 024/bc,53.56
Chak No 036/d N B,48.11
Chak No 037/bc,82.91
Chak No 037/b C,67.94
Chak No 037/b C,50.87
Chak No 044/d B,65.36
Chak No 044/d B,69.47
Chak No 047/d N B,40.98
Chak No 047/d N B,44.95
Chak No 057/d B,62.83
Chak No 057/d B,33.92
Chak No 057/d B,73.43
Chak No 058/ford,145.36
Chak No 058/ford,52.77
Chak No 067/d B,65.93
Chak No 067/d B,54.56
Chak No 067/d B,58.33
Chak No 068/d B,64.6
Chak No 068/d B,84.03
Chak No 079/fateh,144.39
Chak No 079/fateh,40.84
Chak No 088/d B,49.11
Chak No 088/d B,78.41
Chak No 089/fateh,65.93
Chak No 089/fateh,67.94
Chak No 098/d N B,56.56
Chak No 106/d B,76.77
Chak No 106/d B,50.86
Chak No 117/d B,56.43
Chak No 117/d B,70.15
Chak No 163 Murad,160.83
Chak No 163/murad,54.77
Chak No 167/d B,54.66
Chak No 167/d B,63.03
Chak No 188/murad Chonawala,170.34
Chak No 192/murad,154.16
Chak No 59 Fateh,144.98
Chak No 89 Fateh,151.2
Chak No.159/jb,26.36
Chak No.220/jb,23.55
Chak No.250/jb,39.13
Chak No.268/jb,12.63
Chak No.268/jb,18.74
Chak No.446/jb,30.68
Chak No.463/jb(hassan Shah)uc,25.64
Chak No.463/jb(hassan Shah)uc,27.16
Chak No.485/jb,25.59
Chak No.493/jb,24.71
Chak No.497/jb,30.75
Chak Rasulpur,4.4
Chanan Pir,57.83
Chanan Pir,53.74
Chanan Pir,83.31
Chayanwala,17.01
Chhatta,20.19
Civil Station,10.63
Dab Kalan,8.79
Daira Din Panah,58.56
Daira Din Panah,53.14
Damarwala Shumali,17.68
Darain,31.65
Derawer,57.59
Derawer,75.33
Derawer,50.71
Derawer,93.8
Dhoriwala,27.26
Dogar Kalasra,49.94
Dosa,19.83
Ehsanpur,64.43
Ehsanpur,62.6
Fateh Pur Janubi,20.68
Ganga,2.09
Garewahan,8.17
Garewahan,12.39
Ghalwan,8.88
Ghazanfar Garh,13.51
Ghazanfar Garh,15.41
Ghazi Ghat,36.91
Goth Mehrab,51.05
Gudara,8.2
Guddan,91.3
Guddan,97.49
Gujrat,43.49
Gul Wala,24.09
Garh Mahraja Tc,2.02
Hasil Pur Old,136.13
Hasnanah,4.77
Hassu Belal,0.63
Haveli Bahadar Shah,8.68
Haveli Lal,15.01
Haveli Sheikh Raju,8.38
Hazrat Sultan Bahu,1.7
Hinjraee,63.94
Husan Khan,0.54
Inayati,119.78
Israni,109.76
Israni,67.76
Jagat Pur,6.24
Jaiwain,1.54
